"Specimen.ID","eco_type","d18O"
"27873-a","Fish",14.7533333333333
"27873-b","Fish",13.77
"27873-c","Fish",12.99
"27873-d","Fish",15.57
"27873-e","Fish",15.42
"27873-j","Fish",15.65
"60378-a","Aquatic Turtle",14.84541451
"60379-a","Terrestrial Turtle",13.29354208
"60379-b","Terrestrial Turtle",13.77083135
"60379-c","Terrestrial Turtle",14.06762098
"60379-d","Terrestrial Turtle",15.02865964
"60379-e","Terrestrial Turtle",14.1069935
"60379-h","Terrestrial Turtle",14.30036154
"60379-i","Terrestrial Turtle",14.15635209
"60379-j","Terrestrial Turtle",14.81588951
"60379-m","Terrestrial Turtle",14.93893865
"60379-r","Terrestrial Turtle",14.91338284
"60386-a","Aquatic Turtle",12.76557415
"60386-b","Aquatic Turtle",13.12658347
"60406-a","Small Theropod",14.22288194
"60406-b","Small Theropod",17.55405804
"60406-c","Small Theropod",13.71248653
"60422-a","Sauropoda",15.99889522
"60423-a","Sauropoda",18.99983903
"60427-a","Sauropoda",16.5326545
"60430-b","Ornithischian",19.53171901
"60433-a","Croc G",17.40248992
"60433-b","Croc G",12.82166679
"60433-c","Croc G",13.22586145
"60433-e","Croc G",10.26975838
"60433-f","Croc G",9.753627578
"60433-g","Croc G",13.38731078
"60442-a","Croc G",13.046698835
"60444-a","Aquatic Turtle",14.16793479
"60447-a","Aquatic Turtle",14.42850063
"60482-a","Sauropoda",21.1
"60484-a","Sauropoda",18.59571597
"61220-a","Sauropoda",19.1076203
"61221-a","Fish",14.21929209
"61221-b","Fish",12.60158682
"61221-c","Fish",14.76139967
"61221-e","Fish",14.87163958
"61224-a","Croc A",15.33293958
"61224-b","Croc A",15.09904066
"61283-a","Croc A",17.24106161
"61283-b","Croc A",16.86220959
"61284-a","Croc A",15.58637508
"61286-a","Croc A",16.92962087
"61286-b","Croc A",18.3246319
"61286-c","Croc A",15.49069451
"61289-a","Croc B",14.93984365
"61289-b","Croc B",16.43437907
"61289-c","Croc B",18.13089755
"61289-d","Croc B",18.59894675
"61289-e","Croc B",18.2587364
"61289-f","Croc B",16.38939855
"61289-g","Croc B",13.13811675
"61289-h","Croc B",19.19894981
"61289-i","Croc B",16.87756027
"61289-j","Croc B",14.96614076
"61309-a","Croc G",17.24457823
"61309-b","Croc G",17.11409049
"61327-a","Croc B",15.48203693
"61341-a","Ornithischian",17.02903048
"61348-a","Small Theropod",13.65553388
"61351-a","Small Theropod",12.72700545
"61352-a","Small Theropod",17.16617443
"61355-a","Small Theropod",14.30604066
"61357-a","Small Theropod",13.8523666
"61361-a","Small Theropod",17.44573973
"61389-a","Ornithischian",14.17646587
"61399-a","Croc G",17.61436836
"61399-b","Croc G",10.97414118
"61401-a","Aquatic Turtle",11.14313235
"61402-a","Aquatic Turtle",16.125960765
"80794-a","Ornithischian",13.795
"80795-c","Ornithischian",13.53
"80795-d","Ornithischian",15.89
"80859-a","Shark",10.8
"80859-b","Shark",15.27
"80859-c","Shark",9.77
"UNCAT001-a","Sauropoda",15.13298883
"UNCAT002-a","Croc A",16.16911066
"UNCAT003-a","Croc A",17.96348348
