"Taxon","MEAN","hiCL","loCL"
"Lepisosteids",NA,NA,NA
"Glyptops sp.",-8.4,-7.27497179594286,-9.51693935598571
"Naomichelys sp.",-7.8,-7.48451876801,-8.16588434585
"Allosauroid",NA,NA,NA
"Maniraptorans",-3.5,-1.45699830797297,-5.12645743992297
"Sauropods",-2.9,-1.27171934639098,-4.44101238353383
"Ornithischians",-5.3,-3.43737225710526,-6.82532586377193
"Neosuchian G",-8.4,-7.14626707149,-9.69428292446467
"Neosuchian A",-5.9,-4.72107392254955,-6.78819717831591
"Neosuchian B",-6.3,-5.48719503357909,-7.21061979804091
"Hybodonts",NA,NA,NA
