"Eco","mean","n","min","max","sd","se"
"Aquatic Turtle",14.09113267875,8,11.14313235,17.12832694,1.78715056069236,0.631853140233454
"Croc A",16.9695080516667,12,15.09904066,23.14423417,2.21861570128644,0.640459186183028
"Croc B",16.5831824081818,11,13.13811675,19.19894981,1.86148290306269,0.561258213010951
"Croc G",14.181698137,14,9.753627578,17.61436836,2.78533562537807,0.744412258381461
"Fish",13.9587899612727,22,9.468175898,16.23,1.81956345576992,0.387932232224638
"Large Theropod",14.72616354,4,14.34743249,15.09799283,0.327206602691329,0.163603301345665
"Ornithischian",15.45465192,8,13.53,19.53171901,2.08303979081265,0.736465780782517
"Sauropoda",18.100839219,10,15.13298883,22.47536934,2.37971423064885,0.752531714916564
"Shark",11.9466666666667,3,9.77,15.27,2.92380459903416,1.68805937231024
"Small Theropod",15.786548551,10,12.72700545,23.22319825,3.15640282179488,0.998142212985437
"Terrestrial Turtle",14.339257218,10,13.29354208,15.02865964,0.574554904863347,0.181690214018953
